# Each key-value pair is on a new line (\n-only, LF separator)
# Key and value are separated by tab (\t)
# Lines starting with # are comments and are ignored completely
# Inline comments are supported after the second tab

# === core ===
Loading...	Загрузка...
All plots sent to results.	Все графики отправлены в результаты.
Invalid plot number. Use 1-{max} or "all".	Неверный номер графика. Используйте 1-{max} или "all".
Plot {num} sent to results.	График {num} отправлен в результаты.
Failed to initialize the statistical engine. Please try again.	Не удалось инициализировать статистический движок. Пожалуйста, попробуйте снова.
Failed to adjust p-values	Не удалось скорректировать p-значения
Unknown command: {cmd}	Неизвестная команда: {cmd}
R Plots	Графики R
R: All plots	R: Все графики
Invalid pattern: {error}	Неверный шаблон: {error}
Please add at least one valid mapping	Пожалуйста, добавьте хотя бы одно корректное соответствие
Please add at least one valid range	Пожалуйста, добавьте хотя бы один корректный диапазон
Please enter a formula	Пожалуйста, введите формулу
Please enter a search pattern	Введите поисковый шаблон
Invalid regex pattern: {error}	Неверный шаблон регулярного выражения: {error}
Are you sure you want to delete this rule? This will remove it from all variables.	Вы уверены, что хотите удалить это правило? Это удалит его из всех переменных.
Please enter a name for the rule	Пожалуйста, введите имя для правила
Please select at least one input variable	Пожалуйста, выберите хотя бы одну входную переменную
Please enter a name for the output variable	Пожалуйста, введите имя для выходной переменной
Please select at least one output variable	Пожалуйста, выберите хотя бы одну выходную переменную
Number of input and output variables must match	Количество входных и выходных переменных должно совпадать
Output variables cannot be the same as input variables	Выходные переменные не могут совпадать с входными переменными
✏️	✏️
🗑️	🗑️
Applied to	Применено к
variables	переменным
Will replace existing	Заменит существующую
Will create new	Создаст новую
(input)	(ввод)
Edit rule	Редактировать правило
Delete rule	Удалить правило
Invalid rule	Неверное правило
Z-Score	Z-оценка
Min-Max (0-1)	Мин-Макс (0-1)
{count} rule(s) pushed to library	{count} правил(о) отправлено в библиотеку
{count} skipped	{count} пропущено
{count} rule(s) pulled to file	{count} правил(о) скопировано в файл
Delete {count} selected rule(s) from the library?	Удалить {count} выбранных правил из библиотеки?
{count} rule(s) deleted	{count} правил(о) удалено
Invalid JSON format	Неверный формат JSON
Invalid file format. Expected DataSuite rules export.	Неверный формат файла. Ожидается экспорт правил DataSuite.
No rules found in file	В файле не найдено правил
Import complete: {imported} added	Импорт завершён: добавлено {imported}
{replaced} replaced	{replaced} заменено
{skipped} skipped	{skipped} пропущено
Import failed: {error}	Ошибка импорта: {error}
Some rules in the import file already exist in the library. Click OK to replace existing rules, or Cancel to skip duplicates.	Некоторые правила из файла импорта уже существуют в библиотеке. Нажмите ОК, чтобы заменить существующие правила, или Отмена, чтобы пропустить дубликаты.
Rules exported successfully	Правила успешно экспортированы
No rules in current file	В текущем файле нет правил
✓	✓
Library is empty	Библиотека пуста
Click or drag to select	Нажмите или перетащите для выбора
In library	В библиотеке
In file	В файле
Condition	Замер
Use column	Использовать столбец
measurement(s) per condition	переменных на замер
Variables don't divide evenly by conditions	Переменные не делятся равномерно по замерам
Select variables to see preview	Выберите переменные для предпросмотра
... {count} more ...	... ещё {count} ...
Variables being stacked:	Объединяемые переменные:
... {count} more rows ...	... ещё {count} строк ...
rows	строк
Not enough variables selected for the number of conditions	Недостаточно переменных для заданного количества условий
Variables don't divide evenly - some may be ignored	Переменные не делятся равномерно — некоторые могут быть пропущены
Cannot apply transformation - check configuration	Не удаётся применить преобразование — проверьте конфигурацию
Data transformed successfully! 	Данные успешно преобразованы! 
rows created	строк создано
Unsupported download format	Неподдерживаемый формат файла
DOCX library not loaded	Библиотека DOCX не загружена
No results to export	Нет результатов для экспорта
Preparing export...	Подготовка экспорта...
Exporting result {current} of {total}...	Экспорт результата {current} из {total}...
Generating document...	Генерация документа...
Export failed: 	Экспорт не удался: 
JSZip library not loaded	Библиотека JSZip не загружена
No plots to export	Нет графиков для экспорта
Exporting plot {current} of {total}...	Экспорт графика {current} из {total}...
Generating ZIP file...	Создание ZIP-файла...
Are you sure you want to clear all results?	Вы уверены, что хотите очистить все результаты?
Export all plots	Экспорт всех графиков
Export to DOCX	Экспорт в DOCX
Clear all results	Очистить все результаты
p (adj)	p (кор.)
{level}% CI	{level}% ДИ
Preparing to process file...	Подготовка к обработке файла...
Reading file...	Чтение файла...
Unsupported file format. Please upload XLS, XLSX, CSV, TSV, TXT, JSON or ODS files.	Неподдерживаемый формат файла. Пожалуйста, загрузите файлы в формате XLS, XLSX, CSV, TSV, TXT, JSON или ODS.
Error parsing the {fileExtension} file. Please check the file format.	Ошибка при анализе файла {fileExtension}. Пожалуйста, проверьте формат файла.
Analyzing sheets...	Анализ листов...
Error parsing the file. Please check the file format.	Ошибка при анализе файла. Пожалуйста, проверьте формат файла.
Error reading the file. Please try again.	Ошибка чтения файла. Пожалуйста, попробуйте снова.
Processing JSON data...	Обработка данных JSON...
Error parsing the JSON file. Please check the format.	Ошибка при разборе файла JSON. Пожалуйста, проверьте формат.
Loading project data...	Загрузка данных проекта...
Updating UI...	Обновление интерфейса...
Error loading the project. The file may be corrupted.	Ошибка при загрузке проекта. Файл может быть поврежден.
Processing column-based data...	Обработка данных на основе столбцов...
No data found in the JSON file.	Данные не найдены в файле JSON.
Converting row-based data...	Преобразование данных на основе строк...
Keep as new column	Оставить как новый столбец
Exclude	Исключить
Merge with matched column	Объединить с совпавшим столбцом
Merge with unmatched column	Объединить с несовпавшим столбцом
No data found in the file.	В файле не найдено данных.
Select at least one sheet	Выберите хотя бы один лист
Selected sheets contain no data	Выбранные листы не содержат данных
Columns were reordered to match across sheets.	Столбцы были переупорядочены для согласования между листами.
Sheets have different row counts. Join is positional — rows must be pre-aligned.	Листы имеют разное количество строк. Объединение позиционное — строки должны быть предварительно выровнены.

# === distribution-view ===
Frequency tables	Таблицы частот
Calculate frequency tables	Рассчитать таблицы частот
Configure frequency tables	Настроить таблицы частот
Display options:	Параметры отображения:
Show count	Показать количество
Show percentage	Показать процент
Show valid percentage	Показать валидный процент
Show total row	Показать строку итогов
Show cumulative count	Считать накопленную частоту
Show cumulative percentage	Считать накопленный процент
Sort by:	Сортировать по:
Count (Highest first)	Количество (по убыванию)
Count (Lowest first)	Количество (по возрастанию)
Value (A-Z)	Значение (А-Я)
Value (Z-A)	Значение (Я-А)
For numerical variables with many values, values will be grouped into ranges.	Для числовых переменных с большим количеством значений будет выполнена группировка по диапазонам.
Compress numerical values into ranges	Сжать числовые значения в диапазоны
Maximum categories:	Максимум категорий:
Number of bins:	Количество интервалов:
Normality analysis	Анализ нормальности
Run normality tests	Рассчитать критерии нормальности
Test configuration	Конфигурация критериев
Select which normality tests to perform:	Выберите критерии проверки нормальности для выполнения:
Shapiro-Wilk test	Критерий Шапиро-Уилка
Anderson-Darling test	Критерий Андерсона-Дарлинга
Lilliefors test	Критерий Лиллиефорса
Kolmogorov-Smirnov test	Критерий Колмогорова-Смирнова
D'Agostino-Pearson test	Критерий Д'Агостино-Пирсона
Jarque-Bera test	Критерий Жарке-Бера
Cramer-von Mises test	Критерий Крамера-фон Мизеса
Distribution plots	Графики распределения
Create distribution plots	Отрисовать графики распределения
Plot configuration	Настройки графиков
Select which plots to generate:	Выберите желаемые графики
Histogram	Гистограмма
Box plot	Коробчатый график
Q-Q plot	График Q-Q
Violin plot	Скрипичный график
ECDF plot	График ЭФР
Histogram options:	Настройки гистограммы
Show density curve	Показывать кривую плотности
Show normal curve	Показывать кривую нормальности
Bin calculation method:	Режим расчёта диапазонов
Auto (Recommended)	Автоматически (рекомендуется)
Sturges	Стерджес
Scott	Скотт
Freedman-Diaconis	Фридман-Диаконис
Box plot options:	Настройки коробчатого графика
Show outliers	Показывать выбросы
Show mean	Показывать среднее
Show notch (median CI)	Показывать вырез (ДИ медианы)
Show data points	Показывать точки данных
Q-Q plot options:	Настройки графика Q-Q
Show confidence band	Показывать доверительный интервал
Violin plot options:	Настройки скрипичного графика:
Show inner box plot	Показывать внутренний коробчатый график
ECDF plot options:	Настройки графика ЭФР:
Show median reference line	Показывать медианную линию
Loading R libraries	Загрузка библиотек R
Analyzing {variable}...	Анализ {variable}...
No valid data for histogram	Нет корректных данных для гистограммы
Export SVG	Экспорт SVG
Export PNG	Экспорт PNG
Export JPG	Экспорт JPG
Invalid data format for box plot	Некорректный формат данных для коробчатого графика
No valid data for box plot	Нет корректных данных для коробчатого графика
Upper whisker	Верхний ус
Lower whisker	Нижний ус
No valid data for Q-Q plot	Нет корректных данных для Q-Q графика
Invalid data format for violin plot	Неправильный формат данных для скрипичного графика
No valid data for violin plot	Нет допустимых данных для скрипичного графика
Invalid data format for ECDF plot	Неправильный формат данных для графика ЭФР
No valid data for ECDF plot	Нет допустимых данных для графика ЭФР
Frequency	Частота
Density	Плотность
Normal	Нормальное
Outlier	Выброс
Data points	Точки данных
Notch = 95% CI of median	Вырез = 95% ДИ медианы
Theoretical quantiles	Теоретические квантили
Sample quantiles	Выборочные квантили
Points close to the line suggest data follows normal distribution	Точки, близкие к линии, указывают на нормальное распределение данных
IQR	МКР
Cumulative proportion	Накопленная доля
Median reference	Медианная линия
{level}% CI (DKW)	{level}% ДИ (ДКВ)
Please select at least one variable for analysis.	Пожалуйста, выберите хотя бы одну переменную для анализа.
Calculating frequency tables...	Расчёт таблиц частот...
Calculating frequencies for {variable}...	Расчёт частот для переменной {variable}...
Total	Итого
Please select at least one plot type.	Выберите хотя бы один тип графика.
Creating distribution plots...	Создание графиков распределения...
Creating plots for {variable}...	Создание графиков для переменной {variable}...
Count	Количество
Percentage	Процент
Valid percentage	Валидный процент
Cumulative count	Накопленная частота
Cumulative %	Накопленный %
Histogram: {name}	Гистограмма: {name}
Box plot: {name}	Коробчатый график: {name}
Violin plot: {name}	Скрипичный график: {name}
ECDF plot: {name}	График ЭФР: {name}
Q-Q plot: {name}	Q-Q график: {name}
Please select at least one numerical variable for normality analysis.	Пожалуйста, выберите хотя бы одну числовую переменную для анализа нормальности.
Please select at least one normality test to perform.	Пожалуйста, выберите хотя бы один критерий нормальности для выполнения.
Preparing normality tests...	Подготовка к расчёту критериев нормальности...
An error occurred while running the normality tests:	Произошла ошибка при расчёте критериев нормальности:
Insufficient data (n < 5)	Недостаточно данных (n < 5)
Unknown error	Неизвестная ошибка
Could not determine	Невозможно определить
Normal distribution	Нормальное распределение
Not normally distributed	Распределение не является нормальным
Test failed	Сбой расчёта
Interpretation	Интерпретация
Normality tests	Критерии нормальности
Normality	Нормальность

# === descriptive-view ===
Generate descriptive statistics	Сгенерировать описательную статистику
Apply preset:	Применить шаблон:
Parametric	Параметрический
Nonparametric	Непараметрический
Configure statistics	Настроить статистику
Central tendency	Меры центральной тенденции
Trimmed mean	Усечённое среднее
Trim percentage:	Процент усечения:
Geometric mean	Среднее геометрическое
Harmonic mean	Среднее гармоническое
Dispersion	Меры разброса
Minimum	Минимум
Maximum	Максимум
Range	Диапазон
Variance	Дисперсия
Standard deviation	Стандартное отклонение
Interquartile range	Межквартильный размах
Mean absolute deviation	Среднее абсолютное отклонение
Coefficient of variation	Коэффициент вариации
Shape	Форма распределения
Skewness	Асимметрия
Kurtosis	Эксцесс
Report as excess kurtosis	Показать как избыточный эксцесс
Summary counts	Общие показатели
Sample size	Размеры выборок
Count of distinct values	Количество уникальных значений
Missing value count	Количество пропущенных значений
Zero count	Количество нулей
Quantiles	Квантили
Quartiles (25%, 75%)	Квартили (25%, 75%)
Custom percentiles	Пользовательские перцентили
Values (comma separated):	Значения (через запятую):
Standard errors	Стандартные ошибки
Standard error of mean	Стандартная ошибка среднего
Standard error of median	Стандартная ошибка медианы
Standard error of proportion	Стандартная ошибка доли
Confidence intervals	Доверительные интервалы
CI for mean	ДИ для среднего
CI for median	ДИ для медианы
CI for proportion	ДИ для доли
CI for standard deviation	ДИ для стандартного отклонения
CI for variance	ДИ для дисперсии
Use sample statistics (n-1 denominator)	Использовать выборочную статистику (знаменатель n-1)
When checked, calculates sample variance/std.dev. with n-1 denominator. When unchecked, calculates population variance/std.dev. with n denominator.	Если отмечено, рассчитывает выборочную дисперсию/станд.откл. со знаменателем n-1. Если не отмечено, рассчитывает дисперсию/станд.откл. генеральной совокупности со знаменателем n.
Calculating descriptive statistics...	Расчёт описательной статистики...
An error occurred while calculating descriptive statistics:	Произошла ошибка при расчёте описательной статистики:
Missing	Пропущено
Distinct	Различных
Zeroes	Нули
Zeroes %	Нули %
All	Все
Mode frequency	Частота моды
Trimmed mean ({pct}%)	Усечённое среднее ({pct}%)
Variance (s²)	Дисперсия (s²)
Variance (σ²)	Дисперсия (σ²)
Std Dev (s)	Ст. откл. (s)
Std Dev (σ)	Ст. откл. (σ)
MAD	САО
CV (%)	КВ (%)
Excess kurtosis	Избыточный эксцесс
Q1 (25%)	К1 (25%)
Q3 (75%)	К3 (75%)
SE (Mean)	СО (среднего)
SE (Median)	СО (медианы)
Mean CI lower ({level}%)	Нижняя граница ДИ среднего ({level}%)
Mean CI upper ({level}%)	Верхняя граница ДИ среднего ({level}%)
Median CI lower ({level}%)	Нижняя граница ДИ медианы ({level}%)
Median CI upper ({level}%)	Верхняя граница ДИ медианы ({level}%)
Std dev CI lower ({level}%)	Нижняя граница ДИ ст. откл. ({level}%)
Std dev CI upper ({level}%)	Верхняя граница ДИ ст. откл. ({level}%)
Variance CI lower ({level}%)	Нижняя граница ДИ дисперсии ({level}%)
Variance CI upper ({level}%)	Верхняя граница ДИ дисперсии ({level}%)
Proportion	Доля
SE (Proportion)	СО (доли)
CI lower (proportion)	Нижняя граница ДИ (доли)
CI upper (proportion)	Верхняя граница ДИ (доли)
Numerical variables	Числовые переменные
Categorical variables	Категориальные переменные
No valid data available for the selected variables.	Нет допустимых данных для выбранных переменных.

# === comparison-view ===
Analysis type	Тип анализа
Independent samples	Независимые выборки (разные группы)
Dependent samples (repeated measures)	Зависимые выборки (повторные измерения)
Mixed model (between + within subjects)	Смешанная модель (зависимые + независимые)
This analysis requires long format data.	Для этого анализа требуются данные в длинном формате.
Convert to long format	Преобразовать в длинный формат
Variable selection	Выбор переменных
Unselected variables will be treated as dependent variables	Невыбранные переменные будут рассматриваться как зависимые
Grouping variables	Группирующие переменные
Condition variables (within-subjects)	Переменные замеров (внутригрупповые)
Variables representing repeated measures or within-subjects conditions	Переменные, представляющие повторные замеры или внутригрупповые условия
Subject ID	ID субъекта
None - assume row correspondence	Нет — предполагать соответствие по строкам
Covariates	Ковариаты
Check assumptions	Проверить допущения
Run comparison analysis	Запустить сравнительный анализ
Analysis setup	Настройка анализа
Analysis strategy	Стратегия анализа
Analyze each variable separately	Анализировать каждую переменную отдельно
